Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date
2018-19,6,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.04,1.71
2018-19,6,Line Operations - Northern Line,Excess Journey Time - Trains,0.59,0.93
2018-19,6,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.82,2.92
2018-19,6,Line Operations - Victoria Line,Excess Journey Time - Trains,0.85,1.01
2018-19,6,London Underground Network,Excess Journey Time - Total,3.41,4.21
2018-19,7,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.04,1.6
2018-19,7,Line Operations - Central Line,Excess Journey Time - Trains,2.85,2.78
2018-19,7,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.52,3.05
2018-19,7,Line Operations - District Line,Excess Journey Time - Trains,3.94,3.07
2018-19,7,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.64,1.28
2018-19,7,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.53,1.82
2018-19,7,Line Operations - Northern Line,Excess Journey Time - Trains,1.27,0.98
2018-19,7,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.47,3
2018-19,7,Line Operations - Victoria Line,Excess Journey Time - Trains,1.59,1.09
2018-19,7,London Underground Network,Excess Journey Time - Total,5.03,4.33
2018-19,8,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.43,1.58
2018-19,8,Line Operations - Central Line,Excess Journey Time - Trains,2.85,2.79
2018-19,8,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.03,3.17
2018-19,8,Line Operations - District Line,Excess Journey Time - Trains,4.1,3.2
2018-19,8,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.4,1.42
2018-19,8,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.35,2.02
